iter	RMSE
0	14.84063055
1	14.0277146
2	13.28168108
3	12.67295736
4	12.13118282
5	11.64284615
6	11.17583451
7	10.70698042
8	10.30261074
9	9.897928797
10	9.43818595
11	9.067087678
12	8.769647814
13	8.494260327
14	8.18170444
15	7.872819124
16	7.637017332
17	7.415872705
18	7.161020449
19	6.971236341
20	6.841615556
21	6.687931434
22	6.508058838
23	6.348045518
24	6.190854657
25	6.083848414
26	5.948861607
27	5.820594273
28	5.718358733
29	5.62831756
30	5.501668539
31	5.404367962
32	5.312889065
33	5.220401854
34	5.130160358
35	5.056241699
36	4.971821431
37	4.90630594
38	4.847558899
39	4.795388439
40	4.763423781
41	4.718909606
42	4.660496339
43	4.619083415
44	4.578792627
45	4.53420217
46	4.480755407
47	4.440459443
48	4.399489675
49	4.351777663
50	4.322290972
51	4.294233013
52	4.275623532
53	4.237862852
54	4.20766476
55	4.188319833
56	4.150006672
57	4.109226526
58	4.077151393
59	4.043789762
60	4.035036878
61	4.013853126
62	3.979587038
63	3.950449041
64	3.941048557
65	3.919502044
66	3.908419086
67	3.883974731
68	3.862579573
69	3.849836895
70	3.824998864
71	3.791315502
72	3.758805858
73	3.739757196
74	3.727492189
75	3.706251604
76	3.685860196
77	3.663779561
78	3.648059878
79	3.643276906
80	3.638022193
81	3.625433746
82	3.596253585
83	3.571081695
84	3.56195045
85	3.518241793
86	3.494336727
87	3.478022077
88	3.450668514
89	3.419074933
90	3.376901598
91	3.365852239
92	3.34189864
93	3.320205229
94	3.307646434
95	3.304337773
96	3.28404604
97	3.262609827
98	3.252134778
99	3.245174796
